id_processo;numero_sigilo;sigla_grau;procedimento;ramo_justica;sigla_tribunal;id_tribunal;recurso;id_ultimo_oj;dt_recebimento;id_ultima_classe;flag_violencia_domestica;flag_feminicidio;flag_ambiental;flag_quilombolas;flag_indigenas;flag_infancia;decisao;dt_resolvido;cnm1;primeirasentm1;baixm1;decm1;mpum1;julgadom1;desm1;susm1
323962921;0027103-61.2015.8.07.0009;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;77835;2016-09-16;283;0;0;0;0;0;0;0;2022-11-05;0;0;0;;0;;0;0
323962927;0004417-89.2017.8.07.0014;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;43065;2018-02-23;283;0;0;0;0;0;0;0;2021-05-24;0;0;0;;0;;0;0
323962928;0021349-70.2012.8.07.0001;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6639;2012-05-24;39;0;0;0;0;0;0;0;2018-05-03;0;0;0;;0;;0;0
323962929;0706152-72.2019.8.07.0006;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;7049;2019-07-08;40;0;0;0;0;0;0;0;2019-10-25;0;0;0;;0;;0;0
323962931;0018632-22.2016.8.07.0009;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6998;2017-04-28;10943;1;0;0;0;0;0;0;2020-03-13;0;0;0;;0;;0;0
323962936;0010131-81.2013.8.07.0010;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;7048;2013-12-18;7;0;0;0;0;0;0;0;2014-09-19;0;0;0;;0;;0;0
323962939;sigiloso(323962939);G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6607;2021-11-03;143;0;0;0;0;0;0;0;2022-09-20;0;0;0;;0;;0;0
323962942;0004497-42.2015.8.07.0008;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6943;2015-07-17;7;0;0;0;0;0;0;0;2016-08-23;0;0;0;;0;;0;0
323962944;0001101-78.2020.8.07.0009;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;18005;2020-02-27;278;0;0;0;0;0;0;0;2020-05-21;0;;0;;0;;0;0
323962951;0701126-30.2023.8.07.0014;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;43064;2023-02-11;7;0;0;0;0;0;0;0;2025-03-07;0;1;0;;0;1;;0
323962952;0000126-69.2019.8.07.0016;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;13122;2019-02-14;10943;1;0;0;0;0;0;0;2021-06-28;0;0;0;;0;;0;0
323962954;0700861-58.2023.8.07.0004;JE;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6928;2023-01-24;436;0;0;0;0;0;0;0;2023-02-27;0;0;0;;0;;0;0
323962956;0703774-22.2023.8.07.0001;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6586;2023-01-23;7;0;0;0;0;0;0;0;2023-02-28;0;0;0;;0;;0;0
323962957;0707563-50.2019.8.07.0007;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;81394;2019-05-24;172;0;0;0;0;0;0;0;2020-09-14;0;;0;;0;;0;0
323962958;0700996-05.2021.8.07.0016;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6675;2021-01-08;278;0;0;0;0;0;0;0;2021-01-12;0;0;0;;0;;0;0
323962959;0002307-94.2001.8.07.0009;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;7010;2001-09-03;283;0;0;0;0;0;0;0;2018-04-10;0;0;0;;0;;0;0
323962961;0013530-77.2015.8.07.0001;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6558;2015-04-27;7;0;0;0;0;0;0;0;2015-07-02;0;0;0;;0;;0;0
323962964;0003466-19.2017.8.07.0007;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;7040;2017-12-01;10943;0;0;0;0;0;0;0;2020-07-03;0;0;0;;0;;0;0
323962965;sigiloso(323962965);G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;82795;2023-01-09;69;0;0;0;0;0;0;0;2023-02-28;0;0;0;;0;;0;0
323962967;0700867-55.2020.8.07.0009;JE;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;18005;2020-01-22;7;0;0;0;0;0;0;0;2020-02-20;0;0;0;;0;;0;0
323962970;0701135-98.2018.8.07.0003;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6568;2018-01-29;12154;0;0;0;0;0;0;0;;0;;;;0;;;
323962972;0701101-02.2018.8.07.0011;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;13333;2018-05-08;81;0;0;0;0;0;0;0;2018-12-07;0;0;0;;0;;0;0
323962976;0701256-79.2021.8.07.0017;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;16281;2021-02-22;40;0;0;0;0;0;0;0;2022-04-29;0;0;0;;0;;0;0
323962978;0011814-67.2019.8.07.0003;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;7057;2019-12-20;1268;1;0;0;0;0;0;0;2020-03-09;0;;0;;0;;0;0
323962982;0020031-30.2014.8.07.0018;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6635;2014-05-30;48;0;0;0;0;0;0;0;2020-12-03;0;0;0;;0;;0;0
323962983;0016001-32.2016.8.07.0001;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6551;2016-06-02;7;0;0;0;0;0;0;0;2019-12-19;0;0;0;;0;;0;0
323962987;0001440-89.2019.8.07.0003;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6582;2019-03-27;283;0;0;0;0;0;0;0;2019-12-02;0;0;0;;0;;0;0
323962988;0700342-59.2023.8.07.0012;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;12145;2023-01-18;81;0;0;0;0;0;0;0;2023-02-23;0;0;0;;0;;0;0
323962990;0700903-88.2020.8.07.0012;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;12145;2020-02-19;7;0;0;0;0;0;0;0;2021-04-12;0;0;0;;0;;0;0
323962993;0002367-41.2018.8.07.0019;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;77835;2018-11-09;10943;0;0;0;0;0;0;0;;0;;;;0;;0;0
323962994;0011247-64.2014.8.07.0018;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;81325;2014-04-04;7;0;0;0;0;0;0;0;2015-04-08;0;;0;;0;;0;0
323962995;0001743-40.2018.8.07.0003;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;42873;2018-03-26;10943;0;0;0;0;0;0;0;2018-07-24;0;0;0;;0;;0;0
323962998;0700914-71.2021.8.07.0016;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6675;2021-01-08;278;0;0;0;0;0;0;0;2021-06-09;0;0;0;;0;;0;0
323963001;0001014-63.2018.8.07.0019;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;77835;2018-04-19;10943;0;0;0;0;0;0;0;2019-09-26;0;0;0;;0;;0;0
323963002;0002329-43.2019.8.07.0003;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6585;2019-03-11;283;0;0;0;0;0;0;0;2019-06-03;0;0;0;;0;;0;0
323963007;0015012-54.2015.8.07.0003;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;43179;2015-06-09;7;0;0;0;0;0;0;0;2016-01-18;0;0;0;;0;;0;0
323963010;0002032-70.2018.8.07.0003;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6585;2018-02-23;283;0;0;0;0;0;0;0;2019-03-15;0;0;0;;0;;0;0
323963011;0022208-18.2014.8.07.0001;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6634;2014-08-15;283;0;0;0;0;0;0;0;2018-04-25;0;0;0;;0;;0;0
323963015;0003872-03.2018.8.07.0008;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6945;2019-07-23;282;0;0;0;0;0;0;0;2021-08-20;0;0;0;;0;;0;0
323963022;0006532-32.2016.8.07.0010;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;16327;2017-05-04;10943;1;0;0;0;0;0;0;2019-09-03;0;0;0;;0;;0;0
323963024;0701204-25.2021.8.07.0004;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6939;2021-03-29;282;0;0;0;0;0;0;0;2022-06-16;0;0;0;;0;;0;0
323963040;0001497-51.2017.8.07.0012;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;12144;2017-05-31;10943;1;0;0;0;0;0;0;2019-09-20;0;0;0;;0;;0;0
323963043;sigiloso(323963043);G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6932;2023-01-16;12372;0;0;0;0;0;0;0;2023-01-25;0;0;0;;0;;0;0
323963049;0700172-58.2021.8.07.0012;JE;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;12143;2021-01-08;436;0;0;0;0;0;0;0;2021-01-11;0;0;0;;0;;0;0
323963050;0004507-68.2019.8.07.0001;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6560;2019-07-10;7;0;0;0;0;0;0;0;;0;;;;0;;;
323963056;0700116-19.2021.8.07.0014;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;43064;2021-01-12;81;0;0;0;0;0;0;0;2021-05-04;0;0;0;;0;;0;0
323963057;0700424-61.2021.8.07.0012;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;12145;2021-01-21;81;0;0;0;0;0;0;0;2021-02-10;0;0;0;;0;;0;0
323963059;0002867-94.2019.8.07.0012;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;12143;2019-12-05;278;0;0;0;0;0;0;0;2021-03-19;0;0;0;;0;;0;0
323963060;0033633-13.2012.8.07.0001;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6586;2012-08-09;7;0;0;0;0;0;0;0;2017-09-20;0;0;0;;0;;0;0
323963062;0701089-33.2023.8.07.0004;JE;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6970;2023-01-29;436;0;0;0;0;0;0;0;2023-03-20;0;0;0;;0;;0;0
323963064;0701032-62.2021.8.07.0011;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6700;2021-03-18;278;0;0;0;0;0;0;0;2021-05-26;0;;0;;0;;0;0
323963065;0001647-15.2020.8.07.0016;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6660;2020-02-28;278;0;0;0;0;0;0;0;2020-03-05;0;0;0;;0;;0;0
323963066;0002496-67.2018.8.07.0012;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;12144;2018-09-10;10943;1;0;0;0;0;0;0;2020-04-02;0;0;0;;0;;0;0
323963067;0002533-17.2015.8.07.0007;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;77284;2016-07-18;283;0;0;0;0;0;0;0;2020-11-03;0;0;0;;0;;0;0
323963068;0001646-98.2013.8.07.0008;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6943;2013-03-15;32;0;0;0;0;0;0;0;2015-11-26;0;;0;;0;;0;0
323963085;0010854-14.2019.8.07.0003;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6599;2019-11-20;278;0;0;0;0;0;0;0;2020-09-30;0;0;0;;0;;0;0
323963087;0709190-67.2016.8.07.0016;JE;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;87956;2016-05-04;436;0;0;0;0;0;0;0;2016-07-21;0;0;0;;0;;0;0
323963091;0700753-38.2019.8.07.0014;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;43064;2019-02-11;81;0;0;0;0;0;0;0;2020-09-25;0;0;0;;0;;0;0
323963117;0003707-06.2016.8.07.0014;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;43065;2016-08-08;283;0;0;0;0;0;0;0;2017-01-13;0;0;0;;0;;0;0
323963118;0022118-49.2015.8.07.0009;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;77835;2016-04-25;10943;0;0;0;0;0;0;0;2021-06-02;0;0;0;;0;;0;0
323963120;sigiloso(323963120);G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;7048;2023-01-18;14671;0;0;0;0;0;0;0;2023-05-03;0;0;0;;0;;0;0
323963122;0701645-35.2023.8.07.0004;JE;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6930;2023-02-09;436;0;0;0;0;0;0;0;2023-03-24;0;0;0;;0;;0;0
323963124;0700665-90.2020.8.07.0005;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;42947;2020-01-27;1268;1;0;0;0;0;0;0;2020-06-06;0;;0;;0;;0;0
323963128;sigiloso(323963128);G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;43069;2023-01-20;12372;0;0;0;0;0;0;0;2023-03-29;0;0;0;;0;;0;0
323963131;0002141-38.2019.8.07.0007;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;7064;2019-05-09;278;0;0;0;0;0;0;0;2020-08-21;0;0;0;;0;;0;0
323963133;0702478-43.2020.8.07.0009;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6987;2020-02-19;94;0;0;0;0;0;0;0;2020-05-18;0;0;0;;0;;0;0
323963134;0041839-79.2013.8.07.0001;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6637;2013-11-14;283;0;0;0;0;0;0;0;2022-11-30;0;0;0;;0;;0;0
323963135;0707612-46.2018.8.07.0001;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;43064;2018-03-22;113;0;0;0;0;0;0;0;2024-09-09;0;0;0;;0;;;
323963142;0700287-23.2023.8.07.0008;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;74606;2023-01-20;278;0;0;0;0;0;0;0;2023-02-13;0;0;0;;0;;0;0
323963159;0002950-62.2018.8.07.0007;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;84223;2018-08-09;283;0;0;0;0;0;0;0;2022-07-05;0;0;0;;0;;0;0
